Qui a lancé l'appel du 18 juin 1940, demandant aux français de résister ?;Le Général De Gaulle;Maréchal Pétain;Léon Blum;Le Général De Gaulle;Georges Clémenceau
Qui était roi de France en 1600 ?;Henri IV;Louis X;Henri IV;Hugues Capet;Aucun Des Trois
Dans quelle mer le Rhône se jette-t-il ?;La Méditerranée;La Manche;La Mer Noir;La Mer du Nord;La Méditerranée
En quelle année les troupes alliées ont-elle débarqué en Normandie ?;1944;1939;1945;1974;1944
Quel nom d'animal portait autrefois le fils aîné du roi, héritier du trône ?;Le Dauphin;Le Lion;Le Moineau;Le Dauphin;le Cheval
Pour combien d'années est élu le président de la République en France ?;5 ans;7 ans;4 ans;6 ans;5 ans
Combien de kilomètres de côtes possède la France ?;3200;32000;3200;320;0
Quelle est la date de la mise en circulation de l'euro ?;2002;2002;1995;2010;2000
Quel animal Napoléon avait-il choisi comme emblème ?;L'aigle;Le Lion;L'aigle;Le Cheval;Le Dragon
Dans quels véhicules les soldats sont-ils partis à la bataille de la Marne ?;Des Taxis ;Des Jeeps;Des Camions;Des Vélos;Des Taxis 
Qui est le premier président de la cinquième République Française ?;Le Général De Gaulle;Maréchal Pétain;Le Général De Gaulle;Léon Blum;Georges Clémenceau
Quel était le nom de famille de l'empereur Napoléon 1er ?;Bonaparte;Dupont;Le Hardi;Bonaparte;Le Grand
Comment appelle-t-on le régime politique sous Louis XIV ?;La Monarchie Absolue;La République;Une Dictature;La Monarchie Absolue;Une Fédération
Quelles sont les trois plus grand villes françaises ?;Paris,Lyon,Marseille;Paris,Lyon,Marseille;Lille,Marseille,Toulouse;Bordeaux,Strasbourg,Paris;Marseille,Paris,Lille
Qu'est-ce qu'un archipel ?;Un Groupe d'îles;Une île attachée;Un Groupe d'îles;Une grande île ;Un temple
En France, quand les femmes ont-elles voté pour la première fois ?;1945;1936;1945;1968;Jamais
Quel peuple Charles Martel a-t-il arrêté à Poitiers en 732 ?;Les Arabes;Les Prussiens;Les Andalousiens;Les Arabes;les Nordiques
Qui a créé l'école primaire obligatoire et gratuite en 1882 ?;Jules Ferry;Charlemagne;Léon Blum;Georges Pompidou;Jules Ferry
